,index,segment_name,shift,cov,cov_abs,flag_peak_max_cov_abs,flag_peak_auto,flag_instantaneous_default_lag
0,2016-10-24 13:00:18.499486125,20161024130000_iter2,-370,-70.0397262192421,70.0397262192421,False,False,False
1,2016-10-24 13:00:18.449487514,20161024130000_iter2,-369,-71.45855463124755,71.45855463124755,False,False,False
2,2016-10-24 13:00:18.399488903,20161024130000_iter2,-368,-74.07125003337885,74.07125003337885,False,False,False
3,2016-10-24 13:00:18.349490292,20161024130000_iter2,-367,-74.76407885051738,74.76407885051738,False,False,False
4,2016-10-24 13:00:18.299491681,20161024130000_iter2,-366,-75.75421022756578,75.75421022756578,False,False,False
5,2016-10-24 13:00:18.249493070,20161024130000_iter2,-365,-77.63997339330967,77.63997339330967,False,False,False
6,2016-10-24 13:00:18.199494458,20161024130000_iter2,-364,-80.96272971341014,80.96272971341014,False,False,False
7,2016-10-24 13:00:18.149495847,20161024130000_iter2,-363,-82.98621145904858,82.98621145904858,False,False,False
8,2016-10-24 13:00:18.099497236,20161024130000_iter2,-362,-85.10676117208378,85.10676117208378,False,False,False
9,2016-10-24 13:00:18.049498625,20161024130000_iter2,-361,-87.98987547004442,87.98987547004442,False,False,False
10,2016-10-24 13:00:17.999500014,20161024130000_iter2,-360,-92.69859237817036,92.69859237817036,False,False,False
11,2016-10-24 13:00:17.949501403,20161024130000_iter2,-359,-97.41737683309934,97.41737683309934,False,False,False
12,2016-10-24 13:00:17.899502792,20161024130000_iter2,-358,-100.65203212206065,100.65203212206065,False,False,False
13,2016-10-24 13:00:17.849504180,20161024130000_iter2,-357,-102.7532223736873,102.7532223736873,False,False,False
14,2016-10-24 13:00:17.799505569,20161024130000_iter2,-356,-104.85024482497693,104.85024482497693,False,False,False
15,2016-10-24 13:00:17.749506958,20161024130000_iter2,-355,-105.5049309242275,105.5049309242275,False,False,False
16,2016-10-24 13:00:17.699508347,20161024130000_iter2,-354,-101.63820604250392,101.63820604250392,False,False,False
17,2016-10-24 13:00:17.649509736,20161024130000_iter2,-353,-102.45082187962738,102.45082187962738,False,False,False
18,2016-10-24 13:00:17.599511125,20161024130000_iter2,-352,-105.8107588146821,105.8107588146821,False,False,False
19,2016-10-24 13:00:17.549512514,20161024130000_iter2,-351,-107.84185918501879,107.84185918501879,False,False,False
20,2016-10-24 13:00:17.499513902,20161024130000_iter2,-350,-109.35169415926102,109.35169415926102,False,False,False
21,2016-10-24 13:00:17.449515291,20161024130000_iter2,-349,-111.81548001316634,111.81548001316634,False,False,False
22,2016-10-24 13:00:17.399516680,20161024130000_iter2,-348,-113.03254141217458,113.03254141217458,False,False,False
23,2016-10-24 13:00:17.349518069,20161024130000_iter2,-347,-115.98858653530684,115.98858653530684,False,False,False
24,2016-10-24 13:00:17.299519458,20161024130000_iter2,-346,-119.85964379419359,119.85964379419359,False,False,False
25,2016-10-24 13:00:17.249520847,20161024130000_iter2,-345,-123.16446210988812,123.16446210988812,False,False,False
26,2016-10-24 13:00:17.199522235,20161024130000_iter2,-344,-124.23958197095972,124.23958197095972,False,False,False
27,2016-10-24 13:00:17.149523624,20161024130000_iter2,-343,-124.60055143611999,124.60055143611999,False,False,False
28,2016-10-24 13:00:17.099525013,20161024130000_iter2,-342,-126.48548729688655,126.48548729688655,False,False,False
29,2016-10-24 13:00:17.049526402,20161024130000_iter2,-341,-129.97576876098262,129.97576876098262,False,False,False
30,2016-10-24 13:00:16.999527791,20161024130000_iter2,-340,-130.89804768824212,130.89804768824212,False,False,False
31,2016-10-24 13:00:16.949529180,20161024130000_iter2,-339,-132.2922647018928,132.2922647018928,False,False,False
32,2016-10-24 13:00:16.899530569,20161024130000_iter2,-338,-133.43496540980988,133.43496540980988,False,False,False
33,2016-10-24 13:00:16.849531957,20161024130000_iter2,-337,-135.0494086873594,135.0494086873594,False,False,False
34,2016-10-24 13:00:16.799533346,20161024130000_iter2,-336,-136.45284481014332,136.45284481014332,False,False,False
35,2016-10-24 13:00:16.749534735,20161024130000_iter2,-335,-138.0890583129309,138.0890583129309,False,False,False
36,2016-10-24 13:00:16.699536124,20161024130000_iter2,-334,-138.47893485985276,138.47893485985276,False,False,False
37,2016-10-24 13:00:16.649537513,20161024130000_iter2,-333,-138.86860542282366,138.86860542282366,False,False,False
38,2016-10-24 13:00:16.599538902,20161024130000_iter2,-332,-141.2538205679529,141.2538205679529,False,False,False
39,2016-10-24 13:00:16.549540291,20161024130000_iter2,-331,-146.59703557976977,146.59703557976977,False,False,False
40,2016-10-24 13:00:16.499541679,20161024130000_iter2,-330,-153.43856100096264,153.43856100096264,False,False,False
41,2016-10-24 13:00:16.449543068,20161024130000_iter2,-329,-156.80898101245157,156.80898101245157,False,False,False
42,2016-10-24 13:00:16.399544457,20161024130000_iter2,-328,-158.1184732726201,158.1184732726201,False,False,False
43,2016-10-24 13:00:16.349545846,20161024130000_iter2,-327,-159.4741651970382,159.4741651970382,False,False,False
44,2016-10-24 13:00:16.299547235,20161024130000_iter2,-326,-158.50142791377309,158.50142791377309,False,False,False
45,2016-10-24 13:00:16.249548624,20161024130000_iter2,-325,-159.45894385170473,159.45894385170473,False,False,False
46,2016-10-24 13:00:16.199550012,20161024130000_iter2,-324,-160.7265219326561,160.7265219326561,False,False,False
47,2016-10-24 13:00:16.149551401,20161024130000_iter2,-323,-163.22486905697548,163.22486905697548,False,False,False
48,2016-10-24 13:00:16.099552790,20161024130000_iter2,-322,-166.66605137168267,166.66605137168267,False,False,False
49,2016-10-24 13:00:16.049554179,20161024130000_iter2,-321,-167.174323120462,167.174323120462,False,False,False
50,2016-10-24 13:00:15.999555568,20161024130000_iter2,-320,-169.02011709605466,169.02011709605466,False,False,False
51,2016-10-24 13:00:15.949556957,20161024130000_iter2,-319,-172.75827739149523,172.75827739149523,False,False,False
52,2016-10-24 13:00:15.899558346,20161024130000_iter2,-318,-175.99556141088286,175.99556141088286,False,False,False
53,2016-10-24 13:00:15.849559734,20161024130000_iter2,-317,-177.54399549644964,177.54399549644964,False,False,False
54,2016-10-24 13:00:15.799561123,20161024130000_iter2,-316,-176.84839150567956,176.84839150567956,False,False,False
55,2016-10-24 13:00:15.749562512,20161024130000_iter2,-315,-175.03739136859133,175.03739136859133,False,False,False
56,2016-10-24 13:00:15.699563901,20161024130000_iter2,-314,-173.9611388051977,173.9611388051977,False,False,False
57,2016-10-24 13:00:15.649565290,20161024130000_iter2,-313,-176.2658063231051,176.2658063231051,False,False,False
58,2016-10-24 13:00:15.599566679,20161024130000_iter2,-312,-178.49830588944343,178.49830588944343,False,False,False
59,2016-10-24 13:00:15.549568068,20161024130000_iter2,-311,-181.10007617182495,181.10007617182495,False,False,False
60,2016-10-24 13:00:15.499569456,20161024130000_iter2,-310,-185.8677947525973,185.8677947525973,False,False,False
61,2016-10-24 13:00:15.449570845,20161024130000_iter2,-309,-190.08470460664142,190.08470460664142,False,False,False
62,2016-10-24 13:00:15.399572234,20161024130000_iter2,-308,-194.31906286904123,194.31906286904123,False,False,False
63,2016-10-24 13:00:15.349573623,20161024130000_iter2,-307,-195.41806707051495,195.41806707051495,False,False,False
64,2016-10-24 13:00:15.299575012,20161024130000_iter2,-306,-195.48110995953738,195.48110995953738,False,False,False
65,2016-10-24 13:00:15.249576401,20161024130000_iter2,-305,-194.64951075787204,194.64951075787204,False,False,False
66,2016-10-24 13:00:15.199577790,20161024130000_iter2,-304,-194.36611302999714,194.36611302999714,False,False,False
67,2016-10-24 13:00:15.149579178,20161024130000_iter2,-303,-194.74779140044512,194.74779140044512,False,False,False
68,2016-10-24 13:00:15.099580567,20161024130000_iter2,-302,-193.85210679694632,193.85210679694632,False,False,False
