,expected_file,file_available,filename,start,filepath,expected_end,expected_duration,expected_records
2016-09-06 13:00:00,2016-09-06 13:00:00,1.0,201609061300,2016-09-06 13:00:00,L:\Dropbox\luhk_work\programming\DLR_Dynamic_Lag_Remover\example\input\201609061300.csv,2016-09-06 19:00:00,21600.0,432000.0
2016-09-06 19:00:00,2016-09-06 19:00:00,,,,,,,
