,index,segment_name,shift,cov,cov_abs,flag_peak_max_cov_abs,flag_peak_auto,flag_instantaneous_default_lag
0,2016-10-24 13:30:00.800000,20161024133000_iter2,-16,-174.89937804353846,174.89937804353846,False,False,False
1,2016-10-24 13:30:00.750000,20161024133000_iter2,-15,-176.24073251486334,176.24073251486334,False,False,False
2,2016-10-24 13:30:00.700000,20161024133000_iter2,-14,-177.7740128196938,177.7740128196938,False,False,False
3,2016-10-24 13:30:00.650000,20161024133000_iter2,-13,-179.56757170734792,179.56757170734792,False,False,False
4,2016-10-24 13:30:00.600000,20161024133000_iter2,-12,-181.4444308542025,181.4444308542025,False,False,False
5,2016-10-24 13:30:00.550000,20161024133000_iter2,-11,-181.65672968228688,181.65672968228688,False,False,False
6,2016-10-24 13:30:00.500000,20161024133000_iter2,-10,-182.00145190056088,182.00145190056088,False,False,False
7,2016-10-24 13:30:00.450000,20161024133000_iter2,-9,-183.1814460326771,183.1814460326771,False,False,False
8,2016-10-24 13:30:00.400000,20161024133000_iter2,-8,-182.80027736781165,182.80027736781165,False,False,False
9,2016-10-24 13:30:00.350000,20161024133000_iter2,-7,-182.58013158187254,182.58013158187254,False,False,False
10,2016-10-24 13:30:00.300000,20161024133000_iter2,-6,-182.12380128501266,182.12380128501266,False,False,False
11,2016-10-24 13:30:00.250000,20161024133000_iter2,-5,-181.72527058793145,181.72527058793145,False,False,False
12,2016-10-24 13:30:00.200000,20161024133000_iter2,-4,-183.15653372458044,183.15653372458044,False,False,False
13,2016-10-24 13:30:00.150000,20161024133000_iter2,-3,-183.38749563764165,183.38749563764165,False,False,False
14,2016-10-24 13:30:00.100000,20161024133000_iter2,-2,-183.57442113796785,183.57442113796785,False,False,False
15,2016-10-24 13:30:00.050000,20161024133000_iter2,-1,-184.5579858986985,184.5579858986985,False,False,False
16,,20161024133000_iter2,0,-184.77953685976777,184.77953685976777,True,True,False
17,,20161024133000_iter2,1,-181.85101377106878,181.85101377106878,False,False,False
18,,20161024133000_iter2,2,-175.98593148660555,175.98593148660555,False,False,False
19,,20161024133000_iter2,3,-172.38932810852347,172.38932810852347,False,False,False
20,,20161024133000_iter2,4,-171.7939510884984,171.7939510884984,False,False,False
21,,20161024133000_iter2,5,-171.50117605970226,171.50117605970226,False,False,False
22,,20161024133000_iter2,6,-169.3383319607922,169.3383319607922,False,False,False
23,,20161024133000_iter2,7,-166.48372006488472,166.48372006488472,False,False,False
24,,20161024133000_iter2,8,-162.24630330335924,162.24630330335924,False,False,False
