,index,segment_name,shift,cov,cov_abs,flag_peak_max_cov_abs,flag_peak_auto,flag_instantaneous_default_lag
0,2016-10-24 13:30:02.150000,20161024133000_iter1,-43,-136.58146050760487,136.58146050760487,False,False,False
1,2016-10-24 13:30:02.100000,20161024133000_iter1,-42,-138.8322775892798,138.8322775892798,False,False,False
2,2016-10-24 13:30:02.050000,20161024133000_iter1,-41,-142.22803883640947,142.22803883640947,False,False,False
3,2016-10-24 13:30:02,20161024133000_iter1,-40,-143.70228493605066,143.70228493605066,False,False,False
4,2016-10-24 13:30:01.950000,20161024133000_iter1,-39,-146.04668779088288,146.04668779088288,False,False,False
5,2016-10-24 13:30:01.900000,20161024133000_iter1,-38,-149.77650800276393,149.77650800276393,False,False,False
6,2016-10-24 13:30:01.850000,20161024133000_iter1,-37,-152.75960309175076,152.75960309175076,False,False,False
7,2016-10-24 13:30:01.800000,20161024133000_iter1,-36,-154.22335139129515,154.22335139129515,False,False,False
8,2016-10-24 13:30:01.750000,20161024133000_iter1,-35,-152.53204532760657,152.53204532760657,False,False,False
9,2016-10-24 13:30:01.700000,20161024133000_iter1,-34,-151.13267135357677,151.13267135357677,False,False,False
10,2016-10-24 13:30:01.650000,20161024133000_iter1,-33,-152.15474637917504,152.15474637917504,False,False,False
11,2016-10-24 13:30:01.600000,20161024133000_iter1,-32,-154.66692762473792,154.66692762473792,False,False,False
12,2016-10-24 13:30:01.550000,20161024133000_iter1,-31,-158.57567095102104,158.57567095102104,False,False,False
13,2016-10-24 13:30:01.500000,20161024133000_iter1,-30,-160.7009991736834,160.7009991736834,False,False,False
14,2016-10-24 13:30:01.450000,20161024133000_iter1,-29,-160.63204790588554,160.63204790588554,False,False,False
15,2016-10-24 13:30:01.400000,20161024133000_iter1,-28,-160.626363095764,160.626363095764,False,False,False
16,2016-10-24 13:30:01.350000,20161024133000_iter1,-27,-162.60852286718034,162.60852286718034,False,False,False
17,2016-10-24 13:30:01.300000,20161024133000_iter1,-26,-165.6712091077689,165.6712091077689,False,False,False
18,2016-10-24 13:30:01.250000,20161024133000_iter1,-25,-167.00050541037797,167.00050541037797,False,False,False
19,2016-10-24 13:30:01.200000,20161024133000_iter1,-24,-168.23140441077197,168.23140441077197,False,False,False
20,2016-10-24 13:30:01.150000,20161024133000_iter1,-23,-170.22712337634536,170.22712337634536,False,False,False
21,2016-10-24 13:30:01.100000,20161024133000_iter1,-22,-169.7807869103187,169.7807869103187,False,False,False
22,2016-10-24 13:30:01.050000,20161024133000_iter1,-21,-169.02689314339815,169.02689314339815,False,False,False
23,2016-10-24 13:30:01,20161024133000_iter1,-20,-171.04642723730595,171.04642723730595,False,False,False
24,2016-10-24 13:30:00.950000,20161024133000_iter1,-19,-172.5353629694164,172.5353629694164,False,False,False
25,2016-10-24 13:30:00.900000,20161024133000_iter1,-18,-172.5368570453689,172.5368570453689,False,False,False
26,2016-10-24 13:30:00.850000,20161024133000_iter1,-17,-173.67436483597803,173.67436483597803,False,False,False
27,2016-10-24 13:30:00.800000,20161024133000_iter1,-16,-174.89937804353846,174.89937804353846,False,False,False
28,2016-10-24 13:30:00.750000,20161024133000_iter1,-15,-176.24073251486334,176.24073251486334,False,False,False
